            Australian Bureau of Statistics,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,"Transport, storage and services",Commercial and Services,Total industries
Black coal,0,4,115,"1,164",0,0,0,"1,284"
Brown coal,0,0,0,473,0,0,0,473
Met Coke,0,0,0,0,0,0,0,50
Coal by-products,0,0,0,0,0,0,0,39
Briquettes,0,0,0,0,0,0,0,0
Natural gas,0,"3,776",35,358,4,0,0,"4,175"
LNG,0,0,0,0,0,0,0,0
Crude oil and feedstocks,0,0,"1,081",0,0,0,0,"1,081"
Petrol,0,0,0,0,0,0,0,0
Diesel,0,8,3,10,1,0,0,22
Other refined fuels and products,0,0,144,3,1,0,0,148
LPG,0,0,0,0,0,0,0,0
Biofuels,0,0,0,15,0,0,0,17
Wood and wood waste,0,0,0,17,0,0,0,17
Bagasse,0,0,84,17,0,0,0,100
Electricity,0,0,0,0,0,0,0,0
Hydro energy,0,0,0,57,0,0,0,57
Solar energy ,0,0,0,3,0,0,0,4
Wind energy,0,0,0,55,0,0,0,55
Uranium,0,0,0,0,0,0,0,0
